Genes,GeneShortNames,UsedReactions,Cancer_Normal_Malignant,Cancer_Tumor_Malignant,Fibroblast_Normal_FGFR2+,Fibroblast_Tumor_FGFR2+,Fibroblast_Normal_ICAM1+,Fibroblast_Tumor_ICAM1+,Fibroblast_Normal_FAP+,Fibroblast_Tumor_FAP+,Fibroblast_Normal_ICAM1-,Fibroblast_Tumor_ICAM1-,Fibroblast_Normal_MFAP5+,Fibroblast_Tumor_MFAP5+,Fibroblast_Normal_CD73+,Fibroblast_Tumor_CD73+,Fibroblast_Normal_DES+,Fibroblast_Tumor_DES+,Macrophage_Normal_THBS1+,Macrophage_Tumor_THBS1+,Macrophage_Normal_VCAN+,Macrophage_Tumor_VCAN+,Macrophage_Normal_MARCO+,Macrophage_Tumor_MARCO+
ENSG00000197142,ACSL5,"MAR00188, MAR00192, MAR00196, MAR00200, MAR00204, MAR00209, MAR00213, MAR00217, MAR00226, MAR00233, MAR00237, MAR00241, MAR00245, MAR00249, MAR00255, MAR00259, MAR00263, MAR00267, MAR00271, MAR00275, MAR00279, MAR00283, MAR00289, MAR00293, MAR00297, MAR00301, MAR00305, MAR00309, MAR00313, MAR00319, MAR00323, MAR00327, MAR00331, MAR00337, MAR00341, MAR00345, MAR00349, MAR00353, MAR00357, MAR00361, MAR00365, MAR00369, MAR00373, MAR00377, MAR00381, MAR00385, MAR00389, MAR00393, MAR00397, MAR00401, MAR00405, MAR00409, MAR00413, MAR00417, MAR00421, MAR00425, MAR00429, MAR00433, MAR00437, MAR02942, MAR02943, MAR02944, MAR02945, MAR02946, MAR02947, MAR02948, MAR02949, MAR02951, MAR02952, MAR02954, MAR02955, MAR02956, MAR02957, MAR02959, MAR02961, MAR02962, MAR02963, MAR02964, MAR02965, MAR02966, MAR02967, MAR02968, MAR02969, MAR02970, MAR02971, MAR02972, MAR02973, MAR02974, MAR02975, MAR02976, MAR02977, MAR02978, MAR02979, MAR02980, MAR02981, MAR02982, MAR02983, MAR02984, MAR02985, MAR02986, MAR02987, MAR02988, MAR02989, MAR02990, MAR02991, MAR02992, MAR02994, MAR02996, MAR02998, MAR02999, MAR03000, MAR03001, MAR03002, MAR03003, MAR01157, MAR01158, MAR01159, MAR01160, MAR01200, MAR01201, MAR01202, MAR01203, MAR01248, MAR01249, MAR01250, MAR01251, MAR01263, MAR01264, MAR01265, MAR01266, MAR01290, MAR02310, MAR02312, MAR02313, MAR02314, MAR02786, MAR02802, MAR03273, MAR03274, MAR03387, MAR03801, MAR03803, MAR03805, MAR03846, MAR03872, MAR03874, MAR05334",71.2410360926263,89.1088006326229,0,0,88.9088916492343,0,106.812764140055,0,106.828089246174,0,0,0,0,0,0,0,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000197165,SULT1A2,"MAR07689, MAR08534, MAR08535, MAR07688",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197208,SLC22A4,"MAR02600, MAR02603, MAR02606, MAR02609, MAR02612, MAR02616, MAR02621, MAR02624, MAR02629, MAR02634, MAR02638, MAR02644, MAR02649, MAR02652, MAR02655, MAR02658, MAR02661, MAR02664, MAR02667, MAR02670, MAR02673, MAR02676, MAR02679, MAR02682, MAR02685, MAR02688, MAR02691, MAR02695, MAR02700, MAR02703, MAR02706, MAR02709, MAR02712, MAR02715, MAR02718, MAR02722, MAR02727, MAR02731, MAR02734, MAR02737, MAR02740, MAR02744, MAR02748, MAR02753, MAR02757, MAR02760, MAR02764, MAR02769, MAR02772, MAR02775, MAR08676, MAR00137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197217,ENTPD4,"MAR03998, MAR04134, MAR04059, MAR04060, MAR04136, MAR04342, MAR08474, MAR08485",0,89.1088006326229,106.930560759148,106.938207890344,-0,89.0258942165223,106.812764140055,71.2139443759567,-0,89.0234077051451,106.828089246174,89.0234077051451,89.0008927885529,71.2921385935629,106.930560759148,124.752320885673,142.574081012197,142.574081012198,142.574081012198,142.373378988295,0,142.574081012197
ENSG00000197241,SLC2A7,"MAR04321, MAR05029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197249,SERPINA1,"MAR05153",71.2410360926263,89.1088006326229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.574081012197,142.574081012198,142.574081012198,142.373378988295,142.574081012197,142.574081012197
ENSG00000197253,TPSB2,"MAR09483",71.2410360926263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.574081012198,0,0,0,142.574081012197
ENSG00000197296,FITM2,"MAR00031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197323,TRIM33,"MAR09491",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000197355,UAP1L1,"MAR04158",0,0,0,0,0,0,0,71.2139443759567,106.828089246174,89.0234077051451,0,0,0,0,0,0,142.574081012197,142.574081012198,0,142.373378988295,0,142.574081012197
